Fighter,Rating,RD
Denis Roberts,1258.8182692176488,238.86
Rob Di,1258.3423046451603,283.08
Tim Carpenter,1256.7997066673533,259.34
Keita Nakamura,1256.6129839953703,341.45
Elvira Karpinnen,1256.5939323619782,271.21
Enrico Cocco,1255.0880456076443,231.63
Adele Fornarino,1255.0772022626718,270.33
Shinsho Anzai,1253.212234133228,259.63
Roger Neff,1252.2988835917406,271.49
Trevor Lally,1251.6643204639831,290.32
Joel Tudor,1251.6643204639831,290.32
Kethe Engen,1251.6643204639831,290.32
Jimmy Friedrich,1251.6643204639831,290.32
Alexander Savko,1251.6643204639831,290.32
Micah Pittman,1251.6643204639831,290.32
Giovanna Jara,1251.6643204639831,290.32
Amanda Leve,1251.6643204639831,290.32
Larry Parker,1251.6643204639831,290.32
Mark Bocek,1251.6643204639831,290.32
Akira Soji,1251.6643204639831,290.32
Christian Moriarty,1251.6643204639831,290.32
Shinya Aoki,1251.6432463886845,275.85
Kim Dong,1249.8722291594154,263.23
Clark Gracie,1249.4578879835499,256.35
Antonio Peinado,1247.8637644256964,250.67
Milton Vieira,1246.4945615202628,290.5
Shane Hill-Taylor,1246.3860862612426,286.64
Jon Einemo,1245.256955685353,337.03
Jamal Peterson,1241.6589551373488,270.32
Hanette Staack,1240.3025556012278,290.32
Ricardo Alves,1240.3025556012278,290.32
Hannette Staack,1240.3025556012278,290.32
Jon Hansen,1238.3868993223418,265.22
Jacob Rodriguez,1237.258194781076,290.8
Livia Giles,1234.2888540713193,271.21
Mateusz Garmot,1233.4304512629028,260.35
Diego Sanchez,1232.882133334962,276.14
Jeon Doo,1230.4386977376178,265.37
A. Zhanpeisov,1230.058332291548,280.99
Alexandre Jesus,1229.3319727398436,275.91
Fernanda Mazelli,1225.39289290355,317.14
Michael Groth,1223.8933920296583,270.32
John Einimo,1223.8933920296583,270.32
Chris Wideman,1216.5197725482683,287.38
Jorge Britto,1215.8360612922793,286.93
Chris Brown,1215.082568741332,263.57
Ahmad Faraj,1214.3328064487162,290.32
Penny Thomas,1214.3328064487162,290.32
Renato Verissimo,1214.3328064487162,290.32
Marc,1214.3328064487162,290.32
Simon Siasi,1214.3328064487162,290.32
Firas Nakdali,1214.3328064487162,290.32
Talita Treta,1211.6991445790795,329.96
Akihiro Gono,1211.4941927888897,256.35
Gunnar Nelson,1210.9726265385725,212.33
Renan Sancar,1210.4552934155083,302.97
Edwin Najmi,1210.1689190989384,222.21
Janne-Pekka,1208.8162674732012,235.63
Zbigniew Tyszka,1207.3860870473948,243.97
Jason Ramsterrer,1204.0857719225892,276.92
Carina Santi,1203.2010912769324,340.05
N. Uematsu,1193.2096153528853,273.4
Tomas Szczerek,1192.9042247239263,290.5
Oliver Taza,1190.9334120795972,234.69
Radoslaw Turek,1183.4777851232193,258.31
Robin Gracie,1177.0012896552544,290.32
Luis Brito,1177.0012896552544,290.32
Otto Olsen,1177.0012896552544,290.32
Mayssa Bastos,1174.8062279509547,297.11
Keith Krikorian,1172.774768789046,239.55
Ben Henderson,1156.8493300995412,262.2
Matt Lindland,1150.044879343729,253.4
Dennis Hallman,1145.5406317234913,250.28
Antoine Joude,1138.8311150889049,239.78
Gustavo Dantas,1135.3637006653748,248.15
Hideki Sekine,1127.4399432933305,237.77
Eoghan OFlanagan,1123.144590458949,236.45
Mike Van,1121.6032854260886,253.4
Y. Ozawa,1118.4001180331059,266.69
Caol Uno,1117.265807457823,263.29
Marko Helen,1097.9362770149257,227.23
Gerardi Rinaldi,1086.6083229986764,245.27
Bruno Bastos,1078.1648907374984,262.86
Mark Ramos,1014.9588289804972,216.61
Cristiano Lazzarini,915.0532243547668,262.5
